report_date,statement,code,sector,level,is_priority_sector_memo,parent_code,parent_statement,date,outstanding_cr,source_date
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-01-26,2009098.33619,
2026-03-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-02-23,2032170.572975,
2026-04-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2024-03-22,2071250.995736,
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-01-24,2253510.284899,
2026-03-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-02-21,2264305.11996,
2026-04-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2025-03-21,2287060.099496,
2026-02-27,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-01-31,2509788.529016,
2026-03-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-02-28,2543476.7557,
2026-04-30,Statement 1,1,Agriculture and Allied Activities,1,False,III,Statement 1,2026-03-31,2646050.906114,
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-01-26,3614409.354535,
2026-03-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-02-23,3645197.229191,
2026-04-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2024-03-22,3682392.531552,
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2025-01-24,3913968.873477,
2026-03-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2025-02-21,3916782.663051,
2026-04-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2025-03-21,3985659.551324,
2026-02-27,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2026-01-31,4388307.777559,
2026-03-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2026-02-28,4447191.99846,
2026-04-30,Statement 1,2,"Industry (Micro and Small, Medium and Large)",1,False,III,Statement 1,2026-03-31,4582009.047049,
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2024-01-26,717262.458437,
2026-03-30,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2024-02-23,721754.084922,
2026-04-30,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2024-03-22,733123.356073,
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2025-01-24,786045.977257,
2026-03-30,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2025-02-21,791321.246926,
2026-04-30,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2025-03-21,798472.66076,
2026-02-27,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2026-01-31,1031291.398699,
2026-03-30,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2026-02-28,1031798.696316,
2026-04-30,Statement 1,2.1,Micro and Small,2,False,2,Statement 1,2026-03-31,1063122.999847,
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2024-01-26,294398.357935,
2026-03-30,Statement 1,2.2,Medium,2,False,2,Statement 1,2024-02-23,301314.853243,
2026-04-30,Statement 1,2.2,Medium,2,False,2,Statement 1,2024-03-22,306424.853962,
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2025-01-24,348614.49414,
2026-03-30,Statement 1,2.2,Medium,2,False,2,Statement 1,2025-02-21,355603.487357,
2026-04-30,Statement 1,2.2,Medium,2,False,2,Statement 1,2025-03-21,363245.019249,
2026-02-27,Statement 1,2.2,Medium,2,False,2,Statement 1,2026-01-31,426210.574042,
2026-03-30,Statement 1,2.2,Medium,2,False,2,Statement 1,2026-02-28,430262.874014,
2026-04-30,Statement 1,2.2,Medium,2,False,2,Statement 1,2026-03-31,442216.593546,
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2024-01-26,2602748.538163,
2026-03-30,Statement 1,2.3,Large,2,False,2,Statement 1,2024-02-23,2622128.291026,
2026-04-30,Statement 1,2.3,Large,2,False,2,Statement 1,2024-03-22,2642844.321517,
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2025-01-24,2779308.40208,
2026-03-30,Statement 1,2.3,Large,2,False,2,Statement 1,2025-02-21,2769857.928767,
2026-04-30,Statement 1,2.3,Large,2,False,2,Statement 1,2025-03-21,2823941.871316,
2026-02-27,Statement 1,2.3,Large,2,False,2,Statement 1,2026-01-31,2930805.804818,
2026-03-30,Statement 1,2.3,Large,2,False,2,Statement 1,2026-02-28,2985130.428129,
2026-04-30,Statement 1,2.3,Large,2,False,2,Statement 1,2026-03-31,3076669.453656,
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2024-01-26,4413917.309734,
2026-03-30,Statement 1,3,Services,1,False,III,Statement 1,2024-02-23,4471927.64248,
2026-04-30,Statement 1,3,Services,1,False,III,Statement 1,2024-03-22,4547236.765609,
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2025-01-24,4956419.412659,
2026-03-30,Statement 1,3,Services,1,False,III,Statement 1,2025-02-21,4995649.455412,
2026-04-30,Statement 1,3,Services,1,False,III,Statement 1,2025-03-21,5093565.107574,
2026-02-27,Statement 1,3,Services,1,False,III,Statement 1,2026-01-31,5722969.386434,
2026-03-30,Statement 1,3,Services,1,False,III,Statement 1,2026-02-28,5807797.546009,
2026-04-30,Statement 1,3,Services,1,False,III,Statement 1,2026-03-31,6060801.975605,
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2024-01-26,229245.519436,
2026-03-30,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2024-02-23,229915.397549,
2026-04-30,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2024-03-22,232379.233542,
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2025-01-24,256722.100266,
2026-03-30,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2025-02-21,260650.54601,
2026-04-30,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2025-03-21,261574.761822,
2026-02-27,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2026-01-31,267665.467105,
2026-03-30,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2026-02-28,280409.345551,
2026-04-30,Statement 1,3.1,Transport Operators,2,False,3,Statement 1,2026-03-31,286808.275291,
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2024-01-26,937242.20701,
2026-03-30,Statement 1,3.10,Other Services,2,False,3,Statement 1,2024-02-23,973738.083665,
2026-04-30,Statement 1,3.10,Other Services,2,False,3,Statement 1,2024-03-22,985814.5735490001,
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2025-01-24,1081788.571738,
2026-03-30,Statement 1,3.10,Other Services,2,False,3,Statement 1,2025-02-21,1091182.620356,
2026-04-30,Statement 1,3.10,Other Services,2,False,3,Statement 1,2025-03-21,1123459.106523,
2026-02-27,Statement 1,3.10,Other Services,2,False,3,Statement 1,2026-01-31,1235949.0857960002,
2026-03-30,Statement 1,3.10,Other Services,2,False,3,Statement 1,2026-02-28,1236569.844637,
2026-04-30,Statement 1,3.10,Other Services,2,False,3,Statement 1,2026-03-31,1275208.0468040002,
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2024-01-26,26311.61461,
2026-03-30,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2024-02-23,27023.888272,
2026-04-30,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2024-03-22,25917.345642,
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2025-01-24,33728.476663,
2026-03-30,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2025-02-21,33062.57365,
2026-04-30,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2025-03-21,32915.202169,
2026-02-27,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2026-01-31,40694.804478,
2026-03-30,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2026-02-28,46183.309148,
2026-04-30,Statement 1,3.2,Computer Software,2,False,3,Statement 1,2026-03-31,45737.831611,
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2024-01-26,77263.269059,
2026-03-30,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2024-02-23,76439.263933,
2026-04-30,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2024-03-22,77815.892939,
2026-02-27,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2025-01-24,81753.210904,
2026-03-30,Statement 1,3.3,"Tourism, Hotels and Restaurants",2,False,3,Statement 1,2025-02-21,82298.34191,
